,imdb_title_id,title,year,genre,duration,country,language,actors,avg_vote,votes,description,director
0,tt0000009,Miss Jerry,1894,Romance,45,USA,None,"Blanche Bayliss, William Courtenay, Chauncey Depew",5.9,154,The adventures of a female reporter in the 1890s.,Alexander Black
1,tt0000574,The Story of the Kelly Gang,1906,"Biography, Crime, Drama",70,Australia,None,"Elizabeth Tait, John Tait, Norman Campbell, Bella Cola, Will Coyne, Sam Crewes, Jack Ennis, John Forde, Vera Linden, Mr. Marshall, Mr. McKenzie, Frank Mills, Ollie Wilson",6.1,589,True story of notorious Australian outlaw Ned Kelly (1855-80).,Charles Tait
2,tt0001892,Den sorte drøm,1911,Drama,53,"Germany, Denmark",,"Asta Nielsen, Valdemar Psilander, Gunnar Helsengreen, Emil Albes, Hugo Flink, Mary Hagen",5.8,188,"Two men of high rank are both wooing the beautiful and famous equestrian acrobat Stella. While Stella ignores the jeweler Hirsch, she accepts Count von Waldberg's offer to follow her home, ...",Urban Gad
3,tt0002101,Cleopatra,1912,"Drama, History",100,USA,English,"Helen Gardner, Pearl Sindelar, Miss Fielding, Miss Robson, Helene Costello, Charles Sindelar, Mr. Howard, James R. Waite, Mr. Osborne, Harry Knowles, Mr. Paul, Mr. Brady, Mr. Corker",5.2,446,The fabled queen of Egypt's affair with Roman general Marc Antony is ultimately disastrous for both of them.,Charles L. Gaskill
4,tt0002130,L'Inferno,1911,"Adventure, Drama, Fantasy",68,Italy,Italian,"Salvatore Papa, Arturo Pirovano, Giuseppe de Liguoro, Pier Delle Vigne, Augusto Milla, Attilio Motta, Emilise Beretta",7.0,2237,Loosely adapted from Dante's Divine Comedy and inspired by the illustrations of Gustav Doré the original silent film has been restored and has a new score by Tangerine Dream.,"Francesco Bertolini, Adolfo Padovan"
5,tt0002199,"From the Manger to the Cross; or, Jesus of Nazareth",1912,"Biography, Drama",60,USA,English,"R. Henderson Bland, Percy Dyer, Gene Gauntier, Alice Hollister, Samuel Morgan, James D. Ainsley, Robert G. Vignola, George Kellog, J.P. McGowan",5.7,484,"An account of the life of Jesus Christ, based on the books of the New Testament: After Jesus' birth is foretold to his parents, he is born in Bethlehem, and is visited by shepherds and wise...",Sidney Olcott
6,tt0002423,Madame DuBarry,1919,"Biography, Drama, Romance",85,Germany,German,"Pola Negri, Emil Jannings, Harry Liedtke, Eduard von Winterstein, Reinhold Schünzel, Else Berna, Fred Immler, Gustav Czimeg, Karl Platen, Bernhard Goetzke, Magnus Stifter, Paul Biensfeldt, Willy Kaiser-Heyl, Alexander Ekert, Robert Sortsch-Pla",6.8,753,"The story of Madame DuBarry, the mistress of Louis XV of France, and her loves in the time of the French revolution.",Ernst Lubitsch
7,tt0002445,Quo Vadis?,1913,"Drama, History",120,Italy,Italian,"Amleto Novelli, Gustavo Serena, Carlo Cattaneo, Amelia Cattaneo, Lea Giunchi, Bruto Castellani, Augusto Mastripietri, Cesare Moltini, Olga Brandini, Ignazio Lupi, Giovanni Gizzi, Lia Orlandini, Matilde Guillaume, Ida Carloni Talli, Giuseppe Gambardella",6.2,273,"An epic Italian film ""Quo Vadis"" influenced many of the later movies.",Enrico Guazzoni
8,tt0002452,Independenta Romaniei,1912,"History, War",120,Romania,,"Aristide Demetriade, Constanta Demetriade, Constantin Nottara, Pepi Machauer, Aurel Athanasescu, Jeny Metaxa-Doro, Nicolae Soreanu, Vasile Toneanu, Aristita Romanescu, Elvire Popesco, M. Vîrgolici, C. Nedelcovici, Mihail Tancovici-Cosmin, Ion Dumitrescu, Gheorghe Meliseanu",6.7,198,The movie depicts the Romanian War of Independence (1877-1878).,"Aristide Demetriade, Grigore Brezeanu"
9,tt0002461,Richard III,1912,Drama,55,"France, USA",English,"Robert Gemp, Frederick Warde, Albert Gardner, James Keane, George Moss, Howard Stuart, Virginia Rankin, Violet Stuart, Carey Lee, Carlotta De Felice",5.5,225,Richard of Gloucester uses manipulation and murder to gain the English throne.,"André Calmettes, James Keane"
10,tt0002646,Atlantis,1913,Drama,121,Denmark,Danish,"Olaf Fønss, Ida Orloff, Ebba Thomsen, Carl Lauritzen, Frederik Jacobsen, Charles Unthan, Torben Meyer, Svend Bille, Oluf Billesborg, Maja Bjerre-Lind, Cajus Bruun, Michael Curtiz, Marie Dinesen, Vera Esbøll, Lily Frederiksen",6.6,331,"After Dr. Friedrich's wife becomes mentally unstable and his research papers are rejected, he leaves the country to respite.",August Blom
11,tt0002844,Fantômas - À l'ombre de la guillotine,1913,"Crime, Drama",54,France,French,"René Navarre, Edmund Breon, Georges Melchior, Renée Carl, Jane Faber, André Volbert, Naudier, Maillard, Yvette Andréyor, André Luguet",7.0,1944,Inspector Juve is tasked to investigate and capture an infamous criminal Fantomas.,Louis Feuillade
12,tt0003014,Il calvario di una madre,1913,Drama,96,Sweden,,"Hilda Borgström, Aron Lindgren, Erik Lindholm, Georg Grönroos, William Larsson, Richard Lund, Carl Barcklind, Hugo Björne, Bertil Malmstedt",7.1,948,Single mother is separated from her children due to financial struggles.,Victor Sjöström
13,tt0003037,Juve contre Fantômas,1913,"Crime, Drama",61,France,French,"René Navarre, Edmund Breon, Georges Melchior, Renée Carl, Yvette Andréyor, Laurent Morléas",7.0,1349,"In Part Two of Louis Feuillade's 5 1/2-hour epic follows FantÃ'mas, the criminal lord of Paris, master of disguise, the creeping assassin in black, as he is pursued by the equally resourceful Inspector Juve.",Louis Feuillade
14,tt0003102,Ma l'amor mio non muore...,1914,Drama,90,Italy,Italian,"Lyda Borelli, Mario Bonnard, Gian Paolo Rosmino, Vittorio Rossi Pianelli, Dante Cappelli, Maria Caserini, Camillo De Riso, Emilio Petacci, Antonio Monti, Letizia Quaranta, Felice Metellio, Gentile Miotti",6.2,100,"Leslie Swayne, an adventurer, in order to obtain enough money to satisfy the needs of his extravagant life, has been bribed to steal the plans of the fortification from the staff officers ...",Mario Caserini
15,tt0003131,Maudite soit la guerre,1914,"Drama, War",50,Belgium,French,"Baert, Suzanne Berni, Fernand Crommelynck, Nadia D'Angely, Henri Goidsen, Albert Hendrickx, Maurice Auzat, Renée Bailly, Georges Etienne, Zizi Festerat, Lucien Mussière, Réginald, Jane Tony",6.5,124,"An army pilot is on a visit at the home of another army pilot in the neighboured country. He falls in love with his sister. After the outbreak of a war between the two countries, her ...",Alfred Machin
16,tt0003165,Le mort qui tue,1913,"Crime, Drama, Mystery",90,France,French,"René Navarre, Edmund Breon, Georges Melchior, André Luguet, Luitz-Morat, Naudier, Armand Dutertre, Renée Carl, Fabienne Fabrèges, Jane Faber, Marie Dorly, Édouard Mathé",7.0,1050,"After a body disappears from inside the prison, a series of crimes take place, all seemingly by the dead man. With Juve presumed dead, Fandor must investigate alone. Will Fantomas finally be brought to justice?",Louis Feuillade
17,tt0003167,Amore di madre,1914,Drama,55,USA,English,"Henry B. Walthall, Josephine Crowell, Lillian Gish, Dorothy Gish, Fay Tincher, Mae Marsh, Spottiswoode Aitken, Robert Harron, Miriam Cooper, Mary Alden, Donald Crisp, James Kirkwood, Jack Pickford, Fred Burns, Courtenay Foote",5.8,187,"John Howard Payne at his most miserable point in life, writes a song which becomes popular and inspires other people at some point in their lives.",D.W. Griffith
18,tt0003419,Lo studente di Praga,1913,"Drama, Fantasy, Horror",85,Germany,"German, English","Paul Wegener, Grete Berger, Lyda Salmonova, John Gottowt, Lothar Körner, Fritz Weidemann",6.5,1768,"Balduin, a student of Prague, leaves his roystering companions in the beer garden, when he finds he has reached the end of his resources. He is scarcely seated in a quiet corner when a ...","Paul Wegener, Stellan Rye"
19,tt0003471,Traffic in Souls,1913,"Crime, Drama",88,USA,English,"Jane Gail, Ethel Grandin, William H. Turner, Matt Moore, William Welsh, Millie Liston, Irene Wallace, William Cavanaugh, Arthur Hunter, Howard Crampton, W.H. Bainbridge, Luray Huntley, William Powers, Jack Poulton, Edward Boring",6.0,552,"A woman, with the aid of her police officer sweetheart, endeavors to uncover the prostitution ring that has kidnapped her sister, and the philanthropist who secretly runs it.",George Loane Tucker
20,tt0003489,Gli ultimi giorni di Pompei,1913,"Adventure, Drama",88,Italy,Italian,"Fernanda Negri Pouget, Eugenia Tettoni Fior, Ubaldo Stefani, Antonio Grisanti, Cesare Gani Carini, Vitale Di Stefano, Maria Brioschi, Carlo Campogalliani, Ersilia Scalpellini, Ercole Vaser, Cesare Zocchi",6.2,474,Two love triangles intersect in ancient Pompei.,"Mario Caserini, Eleuterio Rodolfi"
21,tt0003637,Assunta Spina,1915,Drama,72,Italy,,"Francesca Bertini, Gustavo Serena, Carlo Benetti, Luciano Albertini, Amelia Cipriani, Antonio Cruichi, Alberto Collo, Alberto Albertini",6.4,378,Assunta Spina is a tragedy set in Naples at the beginning of the twentieth century. Assunta and Michele are in love but others come between them and there is much jealousy. They fight and ...,"Francesca Bertini, Gustavo Serena"
22,tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,"Crime, Drama, Horror",78,USA,English,"Henry B. Walthall, Spottiswoode Aitken, Blanche Sweet, George Siegmann, Ralph Lewis, Mae Marsh, Robert Harron, George Beranger",6.4,1105,"Prevented from dating his sweetheart by his uncle, a young man turns his thoughts to murder.",D.W. Griffith
23,tt0003657,The Bargain,1914,Western,70,USA,English,"William S. Hart, J. Frank Burke, Clara Williams, J. Barney Sherry, Joseph J. Dowling",6.5,144,"After the bandit Jim Stokes robs the stage he is wounded fleeing. Recuperating at a ranch, he falls in love with and marries the daughter. Now wishing to go straight he tries to return the ...",Reginald Barker
