,imdb_title_id,title,year,genre,duration,country,language,actors,avg_vote,votes,description,director
0,tt0008443,The Poor Little Rich Girl,1917,"Comedy, Drama, Family",65,USA,English,"Mary Pickford, Madlaine Traverse, Charles Wellesley, Gladys Fairbanks, Frank McGlynn Sr., Emile La Croix, Marcia Harris, Charles Craig, Frank Andrews, Herbert Prior, George Gernon, Maxine Elliott Hicks",6.7,1266,The wealthy but selfish parents of a lonely young girl begin to rethink what is important to them after a servant's irresponsibility results in a crisis.,Maurice Tourneur
1,tt0008489,"Raffles, the Amateur Cracksman",1917,"Adventure, Crime, Romance",70,USA,English,"John Barrymore, Christine Mayo, H. Cooper Cliffe, Frank Morgan, Dudley Hill, Kathryn Adams, Evelyn Brent, Mathilde Brundage, Mike Donlin, Frederick Perry, Nita Allen",6.4,130,Gentleman burglar Raffles tries to get his hand on a priceless pearl.,George Irving
2,tt0008499,Rebecca of Sunnybrook Farm,1917,"Comedy, Drama",78,USA,English,"Mary Pickford, Eugene O'Brien, Helen Jerome Eddy, Charles Ogle, Marjorie Daw, Mayme Kelso, Jane Wolfe, Josephine Crowell, Jack McDonald, Violet Wilkey, F.A. Turner, Kate Toncray, Emily Gerdes",6.1,770,"With her family in financial difficulties, Rebecca is sent to live with her two strict, unfeeling aunts, who do not appreciate the young girl's charm and energy. Rebecca must make new ...",Marshall Neilan
3,tt0008519,A Romance of the Redwoods,1917,"Adventure, Comedy, Drama",91,USA,,"Mary Pickford, Elliott Dexter, Tully Marshall, Raymond Hatton, Charles Ogle, Walter Long, Winter Hall",5.7,727,A young girl travels west to live with her uncle during the California Gold Rush only to find that he has been killed by Indians and his identity assumed by an outlaw.,Cecil B. DeMille
4,tt0008536,Satana likuyushchiy,1917,Drama,87,Russia,,"Ivan Mozzhukhin, Nathalie Lissenko, Polycarpe Pavloff, Aleksandr Chabrov, Vera Orlova",6.9,147,,Yakov Protazanov
5,tt0008634,Straight Shooting,1917,Western,57,USA,English,"Harry Carey, Duke R. Lee, George Berrell, Molly Malone, Ted Brooks, Hoot Gibson, Milton Brown, Vester Pegg",6.2,372,"Cattleman Flint cuts off farmer Sims' water supply. When Sims' son Ted goes for water, one of Flint's men kills him. Cheyenne is sent to finish off Sims, but finding the family at the newly dug grave, he changes sides.",John Ford
6,tt0008652,A Tale of Two Cities,1917,"Drama, History, Romance",70,USA,,"William Farnum, Jewel Carmen, Charles Clary, Herschel Mayall, Rosita Marstini, Josef Swickard, Ralph Lewis, William Clifford, Marc B. Robbins, Olive White, Willard Louis, Harry De Vere, Florence Vidor, James Morrison",6.0,108,"Alcoholic lawyer Sydney Carton travels to Paris during the Reign of Terror to rescue French aristocrat Charles Darnay, husband of the woman he loves.",Frank Lloyd
7,tt0008663,Terje Vigen,1917,"Drama, War",48,Sweden,,"Victor Sjöström, August Falck, Edith Erastoff, Bergliot Husberg",7.4,1508,"Terje Vigen, a sailor, suffers the loss of his family through the cruelty of another man. Years later, when his enemy's family finds itself dependent on Terje's beneficence, Terje must ...",Victor Sjöström
8,tt0008672,Thomas Graals bästa film,1917,Comedy,52,Sweden,,"Victor Sjöström, Karin Molander, Albin Lavén, Jenny Tschernichin-Larsson, Axel Nilsson, Adolf Blomstedt, Gustaf Boge, Gucken Cederborg, Emma Dietrichs, Emil Fjellström, Henrik Jaenzon, William Larsson, Thyra Leijman-Uppström, Nils Lundell, Torsten Winge",6.0,189,"Thomas Graal's a screenwriter, is very fond of his secretary Bessie. Overtaken by a kiss by Thomas she runs away. In his misfortune Thomas writes a screenplay inspired by Bessie. But she has not been really honest with him .",Mauritz Stiller
9,tt0008679,Tillie Wakes Up,1917,Comedy,48,USA,,"Marie Dressler, Johnny Hines, Frank Beamish, Rubye De Remer, Ruth Barrett, Jack Brawn",4.8,481,"On the third floor of the apartment house at 003 Findlet Avenue lived Mr. and Mrs. Henry Tinkelpaw. The neighbors said it was a shame the way he neglected his poor wife, but Tillie's ...",Harry Davenport
10,tt0008687,Tom Sawyer,1917,"Adventure, Comedy, Drama",59,USA,English,"Jack Pickford, George Hackathorne, Alice Marvin, Edythe Chapman, Robert Gordon, Antrim Short, Clara Horton, Helen Gilmore, Carl Goetz",6.1,140,"Tom Sawyer, a young Missouri lad, finds fun and adventure with his pals Joe Harper and Huckleberry Finn, running away to hide out on Jackson's Island and pretending to be Mississippi River ...",William Desmond Taylor
11,tt0008710,Tösen från Stormyrtorpet,1917,Drama,87,Sweden,,"Greta Almroth, Nils Aréhn, Josua Bengtson, Georg Blomstedt, Thekla Borgh, Gösta Cederlund, Lars Hanson, William Larsson, Karin Molander, Edla Rothgardt, Concordia Selander, Hjalmar Selander, Jenny Tschernichin-Larsson",6.7,148,"Helga is a young single lady who has a baby by a much older married man. After the older man tells Helga's father that he refuses to pay child support because he isn't the child's father, ...",Victor Sjöström
12,tt0008775,Wild and Woolly,1917,"Comedy, Western, Romance",72,USA,English,"Douglas Fairbanks, Eileen Percy, Calvert Carter, Charles Stevens, Sam De Grasse",6.4,557,"A rich young Easterner who has always wanted to live in ""the Wild West"" plans to move to a Western town. Unknown to him, the town's ""wild"" days are long gone, and it is an orderly, ...",John Emerson
13,tt0008827,Amarilly of Clothes-Line Alley,1918,"Comedy, Romance",67,USA,English,"Mary Pickford, William Scott, Kate Price, Ida Waterman, Norman Kerry, Fred Goodwins, Margaret Landis, Tom Wilson",5.8,740,"Amarilly comes from a large family in a working-class neighborhood. She is happy with her family and her boyfriend Terry, a bartender in a cafe. But one day she meets Gordon, a sculptor who...",Marshall Neilan
