,imdb_title_id,title,year,genre,duration,country,language,actors,avg_vote,votes,description,director
0,tt0010071,Don't Change Your Husband,1919,Comedy,71,USA,,"Elliott Dexter, Gloria Swanson, Lew Cody, Sylvia Ashton, Theodore Roberts, Julia Faye, James Neill, Ted Shawn",6.6,1122,"Leila Porter comes to dislike her husband James, a glue king who is always eating onions and looking sloppy. But after she divorces him and marries two-timing playboy Schuyler Van Sutphen the now-reformed James looks pretty good.",Cecil B. DeMille
1,tt0010103,Eyes of Youth,1919,Drama,78,USA,English,"Clara Kimball Young, Gareth Hughes, Pauline Starke, Sam Sothern, Edmund Lowe, Ralph Lewis, Milton Sills, Vincent Serrano, William Courtleigh, Norman Selby, Rudolph Valentino, Edward Kimball",5.3,646,A young woman at a crossroads is shown what her future would be like for each choice.,Albert Parker
2,tt0010137,"For Better, for Worse",1919,Drama,70,USA,English,"Elliott Dexter, Tom Forman, Gloria Swanson, Sylvia Ashton, Raymond Hatton, Theodore Roberts, Wanda Hawley, Winter Hall, Jack Holt, Fred Huntley",5.4,697,"Dr. Edward Meade and friend Richard Burton both love Sylvia Norcross. Both enlist in the military, but Meade stays back to care for deformed children. Sylvia thinks him a coward and marries...",Cecil B. DeMille
3,tt0010162,Getting Mary Married,1919,Comedy,65,USA,English,"Marion Davies, Norman Kerry, Matt Moore, Frederick Burton, Amelia Summerville, Constance Beaumar, Elmer Grandin, Helen Lindroth",6.5,203,A young woman must resist the charms of a handsome stranger and stay single if she wants to inherit a fortune.,Allan Dwan
4,tt0010193,The Greatest Question,1919,Drama,80,USA,English,"Lillian Gish, Robert Harron, Ralph Graves, Eugenie Besserer, George Fawcett, Tom Wilson, George Nichols, Josephine Crowell, Katherine Albert",5.8,671,"An orphan girl is given shelter by a farm family, but soon finds herself in the clutches of a murderous farmer and his wife.",D.W. Griffith
5,tt0010195,The Grim Game,1919,"Adventure, Drama",71,USA,English,"Harry Houdini, Thomas Jefferson, Ann Forrest, Augustus Phillips, Tully Marshall, Arthur Hoyt, Mae Busch, Edward Martin, Jane Wolfe",6.8,254,"Jailed unjustly for a murder he did not commit, a young man uses his amazing powers of escape to free himself and pursue the actual killers, who hold his fiancée captive.",Irvin Willat
6,tt0010208,Harakiri,1919,Drama,80,Germany,Dutch,"Paul Biensfeldt, Lil Dagover, Georg John, Meinhart Maur, Rudolf Lettinger, Erner Huebsch, Käte Küster, Niels Prien, Herta Heden, Loni Nest",5.6,553,"The Buddhist priest wants the Daughter of the Daimyo to become a priestess at the Forbidden Garden. The Daimyo thinks if he were in Europe that his daughter should decide on her own, but he...",Fritz Lang
7,tt0010219,Hawthorne of the U.S.A.,1919,"Adventure, Comedy, Romance",57,USA,English,"Wallace Reid, Lila Lee, Harrison Ford, Tully Marshall, Charles Ogle, Guy Oliver, Edwin Stevens, Clarence Burton, Theodore Roberts, Ruth Renick, Robert Brower, Frank Bonner",3.9,368,,James Cruze
8,tt0010227,Heart o' the Hills,1919,"Drama, Romance",87,USA,English,"Mary Pickford, Harold Goodwin, Allan Sears, Fred Huntley, Claire McDowell, Sam De Grasse, W.H. Bainbridge, John Gilbert, Betty Bouton, Henry Hebert, Fred Warren",5.6,510,Family tensions in the Kentucky hills are inflamed by an outsider's dishonest scheme to exploit the area for its coal.,"Joseph De Grasse, Sidney Franklin"
9,tt0010247,Il tesoro di Arne,1919,"Drama, History",122,Sweden,Swedish,"Erik Stocklassa, Bror Berger, Richard Lund, Axel Nilsson, Hjalmar Selander, Concordia Selander, Gösta Gustafson, Mary Johnson, Wanda Rothgardt, Stina Berg, Gustav Aronson, Jenny Öhrström Ebbesen",7.3,1176,"Three Scottish officers, including Sir Archi, murder Sir Arne and his household for a coffin filled with silver coins. The only survivor is Elsalill, who moves to relatives in Marstrand. ...",Mauritz Stiller
10,tt0010267,The Hoodlum,1919,Comedy,78,USA,English,"Mary Pickford, Ralph Lewis, Kenneth Harlan, T.D. Crittenden, Aggie Herring, Andrew Arbuckle, Max Davidson, Paul Mullen, Buddy Messinger",6.7,929,"A spoiled young rich girl is forced by misfortune to fight for survival in the slums and alleys, where she becomes involved with all manner of unpleasantness.",Sidney Franklin
11,tt0010281,Non vorrei essere un uomo,1918,"Comedy, Romance",45,Germany,German,"Ossi Oswalda, Curt Goetz, Ferry Sikla, Margarete Kupfer, Victor Janson",6.9,1230,"A teenaged tomboy, tired of being bossed around by her strict guardian, impersonates a man so she can have more fun, but discovers that being the opposite sex isn't as easy as she had hoped.",Ernst Lubitsch
12,tt0010298,Ingmarssönerna,1919,Drama,207,Sweden,,"Victor Sjöström, Harriet Bosse, Tore Svennberg, Hildur Carlberg, Hjalmar Peters, Svea Peters, Gustav Ranft, William Iwarsson, Wilhelm Högstedt, Harry Ahlin, Wiktor Bergendahl, Ernst Brunman, Artur Cederborgh, Gösta Gustafson, Ester Lundh",6.9,100,Lill-Ingmar is having a troublesome love life with his bride to be Brita.,Victor Sjöström
13,tt0010307,Per la patria,1919,"Drama, Horror, War",166,France,French,"Romuald Joubé, Maxime Desjardins, Séverin-Mars, Angèle Guys, Maryse Dauvray, Mancini, Elizabeth Nizan, Pierre Danis, Blaise Cendrars, Paul Duc",7.7,1417,"The story of two men, one married, the other the lover of the other's wife, who meet in the trenches of the First World War, and how their tale becomes a microcosm for the horrors of war.",Abel Gance
14,tt0010323,Il gabinetto del dottor Caligari,1920,"Fantasy, Horror, Mystery",76,Germany,German,"Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover, Hans Heinrich von Twardowski, Rudolf Lettinger",8.1,55601,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",Robert Wiene
15,tt0010418,Male and Female,1919,"Adventure, Drama",116,USA,English,"Thomas Meighan, Theodore Roberts, Raymond Hatton, Robert Cain, Gloria Swanson, Lila Lee, Bebe Daniels, Julia Faye, Rhy Darby, Mildred Reardon, Mayme Kelso, Edmund Burns, Henry Woodward, Sydney Deane, Wesley Barry",7.0,1712,"Lady Mary Lasenby is a spoiled maiden who always gets her way until shipwrecked with her butler, then learns which qualities are really admirable in a person.",Cecil B. DeMille
16,tt0010456,Meyer il berlinese,1919,Comedy,58,Germany,German,"Ernst Lubitsch, Ethel Orff, Heinz Landsmann, Trude Troll, Ossi Oswalda, Erich Schönfelder",6.0,172,"A bumbling, self-indulgent husband goes on a vacation away from his wife. There he meets a popular, attractive young woman also on a vacation. Both go on a mountain climb which is going to be far from an ideal adventure.",Ernst Lubitsch
17,tt0010466,The Miracle Man,1919,Drama,80,USA,English,"Lon Chaney, Betty Compson, Joseph J. Dowling, J.M. Dumont, Elinor Fair, Thomas Meighan, F.A. Turner, Lucille Hutton, Lawson Butt, Kisaburô Kurihara",6.6,145,A gang of crooks evade the police by moving their operations to a small town. There the gang's leader encounters a faith healer and uses him to scam gullible public of funds for a supposed ...,George Loane Tucker
18,tt0010484,The Mother and the Law,1919,Drama,95,USA,,"Mae Marsh, Robert Harron, Miriam Cooper, Vera Lewis, Sam De Grasse, Clyde E. Hopkins, F.A. Turner, Walter Long, Ralph Lewis, Tom Wilson, A.W. McClure, Lloyd Ingraham, William Brown, Max Davidson, Alberta Lee",6.9,166,A re-edited version of the 'modern' story from,D.W. Griffith
19,tt0010559,Die Pest in Florenz,1919,"Drama, History, Horror",92,Germany,,"Theodor Becker, Karl Bernhard, Julietta Brandt, Erner Huebsch, Franz Knaak, Otto Mannstaedt, Auguste Prasch-Grevenberg, Marga von Kierska, Hans Walter, Anders Wikman",6.3,137,"Suddenly appearing in Florence, an evil seductress causes Cesare, the city's ruler, and his son to both fall madly in love with her. The son, killing his father before an order to torture ...",Otto Rippert
20,tt0010598,Præsidenten,1919,Drama,75,Denmark,,"Richard Christensen, Christian Engelstoft, Hallander Helleman, Halvard Hoff, Jon Iversen, Jacoba Jessen, Betty Kirkeby, Carl Lauritzen, Axel Madsen, Carl Walther Meyer, Peter Nielsen, Fanny Petersen, Elith Pio, Olga Raphael-Linden",6.6,776,"The judge in a Danish town sees his illegitimate daughter facing a trial for the murder of her newborn child, and is rather sure that she will be sentenced to death. She became pregnant ...",Carl Theodor Dreyer
21,tt0010600,La bambola di carne,1919,"Comedy, Fantasy",66,Germany,,"Max Kronert, Hermann Thimig, Victor Janson, Marga Köhler, Ossi Oswalda, Gerhard Ritterband, Jakob Tiedtke, Josefine Dora, Lapitski, Paul Morgan, Hedy Searle, Arthur Weinschenk",7.4,1669,"Forced into marriage by his uncle, a man decides to fool him by marrying a life-like mechanical doll instead.",Ernst Lubitsch
22,tt0010635,The Roaring Road,1919,"Comedy, Drama, Sport",58,USA,English,"Wallace Reid, Ann Little, Theodore Roberts, Guy Oliver, Clarence Geldart",5.2,594,"A young man pursues a young lady with the same energy he applies to his other obsession in life, auto racing.",James Cruze
